#,NAME,FOLLOWERS,ER,COUNTRY,TOPIC OF INFLUENCE,POTENTIAL REACH,username,total_followers,total_following,total_posts
41,Steven Gerrard @stevengerrard,11.7M,0.56%,United Kingdom,Sports Soccer,3.5M,stevengerrard,11723709,761,1342
42,Tom Hiddleston @twhiddleston,11.4M,8.40%,United Kingdom,Acting and Drama Actors,3.4M,twhiddleston,10699381,112,52
43,Mercedes-AMG PETRONAS F1 Team @mercedesamgf1,11.3M,0.44%,United Kingdom,Sports Cars Racing Mercedes,3.4M,mercedesamgf1,13557288,47,15585
44,Calvin Harris @calvinharris,11.3M,0.81%,United Kingdom,Entertainment and Music Music Producers Singer,3.4M,calvinharris,11435381,1300,234
45,Raheem Sterling x 😇 @sterling7,10.8M,1.84%,United Kingdom,Sports Personal Finance Soccer,3.3M,sterling7,10788703,1288,872
46,jade amelia thirlwall @jadethirlwall,10.6M,1.59%,United Kingdom,Entertainment and Music Singer Dance,3.2M,jadethirlwall,10568942,896,258
47,Ed Westwick @edwestwick,10.5M,1.08%,United Kingdom,Entertainment and Music Actors Music Lifestyle,3.2M,edwestwick,11119412,109,1088
48,Anya Taylor-Joy @anyataylorjoy,10M,9.29%,United Kingdom,Entertainment and Music Actors Modeling Singer,3M,anyataylorjoy,11774313,412,1308
49,England football team @england,9.8M,0.32%,United Kingdom,Sports,3M,england,12384137,386,9587
50,Maisie Williams @maisie_williams,9.8M,1.19%,United Kingdom,Entertainment and Music Modeling TV Shows Actors,2.9M,maisie_williams,9589750,1094,116
51,Tom Hardy @tomhardy,9.7M,0.94%,United Kingdom,Actors,2.9M,tomhardy,10142386,2,426
52,JLingz @jesselingard,9.5M,1.95%,United Kingdom,Sports Soccer,2.8M,jesselingard,9289246,618,859
53,Tom Ellis @officialtomellis,9.4M,2.23%,United Kingdom,Entertainment and Music Celebrity Actors,2.8M,officialtomellis,9092696,431,964
54,Florence Pugh @florencepugh,9.3M,5.31%,United Kingdom,Entertainment and Music Acting and Drama Celebrity Actors,2.8M,florencepugh,9417256,723,1486
55,Phil Foden @philfoden,9.3M,10.26%,United Kingdom,Sports Soccer,2.8M,philfoden,12470995,489,689
56,Zoë Sugg @zoesugg,9.3M,0.11%,United Kingdom,Fashion and Accessories Entertainment and Music Business and Finance Video Blogger,2.8M,zoesugg,9221969,704,2173
57,Jack Grealish @jackgrealish,9.1M,8.38%,United Kingdom,Sports Outdoor Activity,2.7M,jackgrealish,9251561,608,992
58,Charlotte Letitia Crosby @charlottegshore,8.8M,0.57%,United Kingdom,Fashion and Accessories Fitness and Health TV Shows,2.6M,charlottegshore,8744634,2286,912
59,Holly Willoughby @hollywilloughby,8.5M,0.32%,United Kingdom,Entertainment and Music Beauty and Self Care,2.6M,hollywilloughby,8411242,311,3207
60,John Terry @johnterry.26,8.3M,1.01%,United Kingdom,Sports,2.5M,johnterry.26,8797087,1185,2422
61,Karen Gillan @karengillan,8.1M,2.09%,United Kingdom,Entertainment and Music Food Actors,2.4M,karengillan,7886163,1020,1136
62,Molly-Mae Hague @mollymae,7.9M,0.13%,United Kingdom,Fashion and Accessories Home and Garden Business and Finance Actors,2.4M,mollymae,8287546,715,1235
63,The UK07 Rider @anurag_dobhal,7.9M,13.93%,United Kingdom,Education Upskilling,2.4M,anurag_dobhal,8197751,211,1043
64,Bela Padilla @bela,7.8M,0.60%,United Kingdom,Arts and Crafts Entertainment and Music Celebrity Actors,2.3M,bela,7901083,6681,1110
65,Hero Fiennes Tiffin @hero_ft,7.5M,9.89%,United Kingdom,Celebrity Modeling Styling,2.3M,hero_ft,7216612,1096,27
66,Lewis Capaldi @lewiscapaldi,7.4M,4.70%,United Kingdom,Entertainment and Music Music Songwriting Band,2.2M,lewiscapaldi,7240412,807,98
67,Jessica Alves @jessicaalvesuk,7.4M,0.05%,United Kingdom,Fashion and Accessories Travel Television Modeling,2.2M,jessicaalvesuk,7124245,4028,1055
68,Arctic Monkeys @arcticmonkeys,7.3M,8.84%,United Kingdom,Entertainment and Music Music Producers,2.2M,arcticmonkeys,7605507,0,144
69,Gregg Sulkin @greggsulkin,7.2M,0.56%,United Kingdom,Celebrity Actors,2.2M,greggsulkin,7104503,902,438
70,Harry Styles HQ @hshq,7.2M,14.59%,United Kingdom,Entertainment and Music Music Singer,2.2M,hshq,6840122,10,283
71,Orlando Bloom @orlandobloom,7.2M,0.62%,Suurbritannia,Näitlejad Näitleja,2.1M,orlandobloom,7158517,1352,1048
72,Frank Lampard @franklampard,7M,2.02%,Suurbritannia,Sport Jalgpall,2.1M,franklampard,7005887,575,462
73,Julius Dein @juliusdein,6.7M,3.31%,Suurbritannia,Meelelahutus ja muusika Lõbus Elustiil Kuulsused,2M,juliusdein,6369899,6947,964
74,Michelle Keegan @michkeegan,6.7M,0.97%,Suurbritannia,Elustiil,2M,michkeegan,7319450,606,1287
